mass  -2              -1              0              +1              +2              Obs
1.176 0.0371337868273 0.0566379539669 0.0914062485099 0.146326079965 0.221509307623 0.107081661556
1.187 0.0371337868273 0.0570619553328 0.0914062485099 0.146760225296 0.22240050137 0.0626031133953
1.199 0.0372924804688 0.0573058128357 0.091796875 0.147169411182 0.222903862596 0.0677025203536
1.211 0.0374511741102 0.05712204054 0.0921875014901 0.147576734424 0.223402559757 0.126557093055
1.223 0.0374511741102 0.0575496703386 0.0921875014901 0.148014590144 0.223972544074 0.145447940422
1.235 0.0376098640263 0.0573640838265 0.0925781279802 0.148421928287 0.22447027266 0.128705649961
1.248 0.0376098640263 0.0577935241163 0.0925781279802 0.148421928287 0.224800914526 0.118723084583
1.26 0.0377685539424 0.0576061233878 0.0929687470198 0.148606598377 0.225174188614 0.100587147675
1.273 0.0377685539424 0.0576061233878 0.0929687470198 0.148827373981 0.225295782089 0.129577559536
1.286 0.0377685539424 0.0580373741686 0.0929687470198 0.149048164487 0.225583404303 0.127367819847
1.299 0.0377685539424 0.0580373741686 0.0929687470198 0.149048164487 0.225749433041 0.0589726675871
1.312 0.0377685539424 0.0580373741686 0.0929687470198 0.149048164487 0.225749433041 0.0592313009965
1.325 0.0377685539424 0.0580373741686 0.0929687470198 0.149048164487 0.225749433041 0.0593749463381
1.338 0.0377685539424 0.0580373741686 0.0929687470198 0.149268954992 0.225870609283 0.0591179908439
1.351 0.0377685539424 0.0580373741686 0.0929687470198 0.149268954992 0.225870609283 0.0801312916968
1.365 0.0379272438586 0.0578481666744 0.0933593735099 0.149231001735 0.22612029314 0.0875765291816
1.378 0.0379272438586 0.0582812279463 0.0933593735099 0.149231001735 0.225953146815 0.0595184776036
1.392 0.0379272438586 0.0582812279463 0.0933593735099 0.149231001735 0.22578600049 0.143153871148
1.406 0.0377685539424 0.0584686249495 0.0929687470198 0.149048164487 0.225749433041 0.23788786968
1.42 0.0377685539424 0.0580373741686 0.0929687470198 0.149048164487 0.225417390466 0.248500605248
1.434 0.0377685539424 0.0580373741686 0.0929687470198 0.148827373981 0.225129544735 0.176113251411
1.449 0.0377685539424 0.0580373741686 0.0929687470198 0.148606598377 0.224674835801 0.14196172886
1.463 0.0376098640263 0.058222964406 0.0925781279802 0.148421928287 0.232984378934 0.123683556818
1.478 0.0376098640263 0.0577935241163 0.0925781279802 0.147982209921 0.223565086722 0.107446092117
1.493 0.0381713882089 0.0575834289193 0.0921875014901 0.147576734424 0.223072871566 0.048271856765
1.508 0.0421295166016 0.0622248165309 0.0980468764901 0.154628172517 0.231702074409 0.0500119875423
1.523 0.0420227050781 0.0627179145813 0.099609375 0.158275142312 0.238406464458 0.0662661032158
1.538 0.0380859375 0.0580902099609 0.09375 0.150300681591 0.227813914418 0.0659637541783
1.553 0.0378478989005 0.0570954307914 0.0914062485099 0.14610901475 0.220735132694 0.102098136967
1.569 0.0438079833984 0.0651581510901 0.10195312649 0.160062283278 0.239402472973 0.16862306101
1.584 0.118225097656 0.150062561035 0.203125 0.287542849779 0.402328014374 0.334550269359
1.6 0.0434082038701 0.0634651184082 0.0992187485099 0.154591277242 0.228664934635 0.175649583639
1.616 0.0416259765625 0.0623443573713 0.0968749970198 0.152089834213 0.226069077849 0.102711012728
1.632 0.0492279045284 0.0722225159407 0.11054687202 0.170928820968 0.252761334181 0.0664332619143
1.649 0.0509765595198 0.0740478485823 0.11249999702 0.173414424062 0.254825681448 0.0623829992706
1.665 0.0437499992549 0.0648437514901 0.10000000149 0.155808538198 0.230099484324 0.063096612932
1.682 0.0358642600477 0.0551111251116 0.0882812514901 0.140694528818 0.210737496614 0.0562176591118
1.699 0.0400451645255 0.0606239289045 0.0949218720198 0.149474352598 0.221777155995 0.0644481272117
1.716 0.115179441869 0.13723897934 0.17656250298 0.245748028159 0.338256239891 0.190188215601
1.733 0.0490295439959 0.0707573443651 0.10820312798 0.167047932744 0.247046858072 0.225246084144
1.75 0.0417938232422 0.062162373215 0.0972656235099 0.153165072203 0.229017138481 0.150277364545
1.768 0.0375244170427 0.0570222884417 0.0906250029802 0.144860222936 0.218848511577 0.0885088206807
1.785 0.0453186035156 0.0669350624084 0.10546875 0.169526576996 0.272127658129 0.0699394680583
1.803 0.0582275390625 0.0824586823583 0.12421874702 0.19059343636 0.282895445824 0.0898489291244
1.821 0.0552886985242 0.0775868669152 0.11601562798 0.17690500617 0.260302335024 0.129628115246
1.839 0.0417938232422 0.062162373215 0.0972656235099 0.152472108603 0.227906867862 0.155301449335
1.858 0.0378478989005 0.0575138553977 0.0914062485099 0.14610901475 0.220080524683 0.247445239867
1.876 0.0380096435547 0.057759642601 0.091796875 0.146297410131 0.220447927713 0.240271061505
1.895 0.0380096435547 0.057759642601 0.091796875 0.146515399218 0.220899254084 0.108477500496
1.914 0.0381713882089 0.0575834289193 0.0921875014901 0.146919950843 0.221386015415 0.058512935776
1.933 0.0381713882089 0.0580054298043 0.0921875014901 0.146919950843 0.221716970205 0.0956695077191
1.953 0.0381713882089 0.0580054298043 0.0921875014901 0.147357806563 0.221961557865 0.148275259277
1.972 0.038333132863 0.0578274279833 0.0925781279802 0.147542491555 0.222324088216 0.091476715696
1.992 0.038333132863 0.0582512170076 0.0925781279802 0.147542491555 0.222490265965 0.0786202851038
2.012 0.0378478989005 0.057932280004 0.0914062485099 0.142852887511 0.209919989109 0.187121840369
2.032 0.0383972153068 0.0577180348337 0.0910156220198 0.142890840769 0.209582254291 0.156622453521
2.052 0.0382324233651 0.0574703253806 0.0906250029802 0.14227758348 0.208847552538 0.0962106390722
2.073 0.0376861542463 0.0576847046614 0.0910156220198 0.142458558083 0.208988279104 0.06271990978
2.094 0.0375244170427 0.0574371367693 0.0906250029802 0.141847148538 0.20809134841 0.0435687585416
2.114 0.0376861542463 0.0576847046614 0.0910156220198 0.142458558083 0.208988279104 0.0634439075242
2.136 0.0383972153068 0.0577180348337 0.0910156220198 0.142458558083 0.209154188633 0.114825308781
2.157 0.0383972153068 0.0577180348337 0.0910156220198 0.142458558083 0.20948600769 0.15411479529
2.179 0.0382324233651 0.0574703253806 0.0906250029802 0.14227758348 0.208847552538 0.173589053013
