1.176	0.096875
1.187	0.0945313
1.199	0.0945313
1.211	0.0949219
1.223	0.1
1.235	0.0953125
1.248	0.0953125
1.26	0.0957031
1.273	0.0957031
1.286	0.0957031
1.299	0.0960938
1.312	0.0960938
1.325	0.0960938
1.338	0.0960938
1.351	0.0960938
1.365	0.0960938
1.378	0.0957031
1.392	0.105078
1.406	0.0960938
1.42	0.100391
1.434	0.119531
1.449	0.0957031
1.463	0.0957031
1.478	0.0953125
1.493	0.0953125
1.508	0.0953125
1.523	0.0949219
1.538	0.0945313
1.553	0.0945313
1.569	0.0980469
1.584	0.102734
1.6	0.0941406
1.616	0.09375
1.632	0.09375
1.649	0.09375
1.665	0.09375
1.682	0.09375
1.699	0.09375
1.716	0.133594
1.733	0.115625
1.75	0.0964844
1.768	0.0941406
1.785	0.0941406
1.803	0.0945313
1.821	0.0945313
1.839	0.0945313
1.858	0.100781
1.876	0.0949219
1.895	0.0953125
1.914	0.0953125
1.933	0.096875
1.953	0.0957031
1.972	0.0957031
1.992	0.0960938
2.012	0.0945313
2.032	0.0945313
2.052	0.0941406
2.073	0.0941406
2.094	0.09375
2.114	0.0941406
2.136	0.0945313
2.157	0.0945313
2.179	0.0941406
2.2	0.0945313
2.222	0.0941406
2.245	0.0945313
2.267	0.09375
2.29	0.0933594
2.313	0.09375
2.336	0.0933594
2.359	0.0933594
2.383	0.0929687
2.406	0.0929687
2.43	0.0925781
2.455	0.0925781
2.479	0.0925781
2.504	0.109375
2.529	0.100391
2.554	0.0929687
2.58	0.142188
2.5801	999999
4.2009	999999
4.201	0.0835937
4.243	0.0835937
4.286	0.0839844
4.328	0.084375
4.372	0.0847656
4.415	0.0984375
4.4	0.0902344
4.504	0.0851562
4.549	0.0847656
4.595	0.0851562
4.641	0.0847656
4.687	0.0851562
4.734	0.0851562
4.781	0.0855469
4.829	0.0859375
4.877	0.0859375
4.926	0.0863281
4.975	0.0867188
5.025	0.0875
5.075	0.0992187
5.126	0.0882813
5.177	0.0886719
5.229	0.0886719
5.282	0.0886719
5.334	0.0890625
5.388	0.0894531
5.442	0.0902344
5.496	0.090625
5.551	0.0914062
5.606	0.0914062
5.663	0.0921875
5.719	0.110156
5.776	0.120312
5.834	0.0964844
5.892	0.0929687
5.951	0.09375
6.011	0.0945313
6.071	0.0949219
6.132	0.0953125
6.193	0.0960938
6.255	0.1
6.318	0.106641
6.381	0.096875
6.445	0.0976562
6.509	0.100781
6.574	0.0984375
6.64	0.0992187
6.706	0.1
6.773	0.111719
6.841	0.100781
6.909	0.101953
6.978	0.102344
7.048	0.103125
7.119	0.104297
7.19	0.122656
7.262	0.10625
7.334	0.107813
7.408	0.135937
7.482	0.110156
7.557	0.112109
7.632	99999
7.709	0.115625
7.786	0.117578
7.864	0.119531
